#,Gender,Age_range,Household_type,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group,fuel-security_score,Work_Schedule,Income,lad_code,msoa_code,imd_decile,crime_rate_per_1000,green_space_pct,park_distance_m
nv6q2658mivsv05sunv6qh7ye03q2tpy,Male,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,7,0,2,0,Owning the house outright,0,Working full-time,"More than £58,900 p.a.",E09000003,E02000046,7,71.52628693518058,82.5,236.0967295597484
nvi21hquf9ps2q88invi2h7nxhirw7im,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Buying the house on a mortgage,0,Not working- looking after house/ children,Prefer not to say,E09000028,E02000831,3,112.89535525791995,79.80000000000001,380.1352282887697
o2ddr3k21d7vhbg4o2ddr3xn0cvk3op2,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,6,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000006,E02000135,2,69.34413947690096,77.60000000000001,281.0933161004562
o2k22kp64zmagpo2k23h7ciziyphgssv,Male,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Owning the house outright,0,Working full-time,"More than £58,900 p.a.",E09000033,E02000971,5,372.93320499747455,66,380.7372538603691
o3qq4gz62mcknhv32o3qq4k3z3o74l97,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000030,E02000882,2,106.55418799829552,89.1,156.43089997142783
o6czce0o1i7r0v62kio6cz38z6cbhfjh,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Buying the house on a mortgage,0,Working full-time,"More than £58,900 p.a.",E09000024,E02000696,6,64.73566039577726,89.5,243.86311741904728
ock6ruk91so1oexe2zock6rm47in1823,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Buying the house on a mortgage,0,Working part-time,"£37,901- £58,900 p.a.",E09000028,E02000828,2,112.89535525791995,78.9,254.21553951265784
oeoy47n7xejwv4koeow0didk1rz8b3bf,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,8,1,2,0,Owning the house outright,0,Working full-time,"More than £58,900 p.a.",E09000027,E02000798,5,59.12433069454052,94.3,279.528364515789
oesiyahk1uhoymazioesiyaymzzn9gqe,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,10,0,2,0,Buying the house on a mortgage,0,Working part-time,"£37,901- £58,900 p.a.",E09000024,E02000695,6,64.73566039577726,96.39999999999999,504.50828636274485
og84sarhhjlvdlmuog84so09yj6mw5e3,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,2,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000027,E02000798,8,59.12433069454052,94.3,279.528364515789
okdjs7x3ttpwh5kaokdjsjase68wfy9z,Male,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,1,2,0,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000007,E02000166,3,161.7785752076001,79.9,260.8400465097081
ollafanuhcubeinyd57collafa56rz75,Female,50 to 54,Living with partner/ spouse/ older relative WITH children under 18,8,1,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000014,E02000416,4,110.31084588034891,68.5,249.69184725874078
on6yz54a1xzuykdcfqw9fon6yz5cs746,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,6,0,2,0,Buying the house on a mortgage,4,Not working- looking after house/ children,"£24,301- £37,900 p.a.",E09000030,E02000875,2,106.55418799829552,78.8,154.3225881197911
onj93spfvqdnk4a8onj9307pe3snbd53,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,0,Not working- looking after house/ children,"£37,901- £58,900 p.a.",E09000004,E02000080,4,64.46313682120169,90.10000000000001,466.07723700636905
ormnkcwn9o7qxhq79ormn8h8o36wr6f9,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,3,2,0,0,Buying the house on a mortgage,0,Not working- long term sick or disabled,Prefer not to say,E09000010,E02000288,3,92.56137264603299,82.69999999999999,496.9941142049995
ow7moa0eb8cvff7dh0w9mow7moa05j8w,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,8,1,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000006,E02000132,8,69.34413947690096,62.7,459.6985915719553
oxvu5r7ywezdgs4jlzlyzqoxvu5r7r7m,Female,40 to 44,Living on my own WITH children under 18,9,1,1,0,Renting from private landlord,0,Working part-time,"£14,901- £24,300 p.a.",E09000003,E02000041,6,71.52628693518058,80.9,485.4272489082969
oyil1zhadyypi07oyil9rtvoxc9tpt9r,Female,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,7,0,2,0,Buying the house on a mortgage,0,Maternity leave,"£37,901- £58,900 p.a.",E09000023,E02000669,5,93.94595064593693,90.2,273.90674144444404
p6550ryzhhcgteu55sy26n5fp6550ryr,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,7,2,2,0,Owning the house outright,0,Working part-timeStudent,"£37,901- £58,900 p.a.",E09000026,E02000757,8,78.28836492624754,81.6,424.4852206790693
p9mdenm0980serp9mde5gmbm9crw426p,Female,45 to 49,Living with partner/ spouse/ older relative WITH children under 18,8,0,2,0,Buying the house on a mortgage,2,Working full-time,Prefer not to say,E09000017,E02000522,5,77.02625332106763,80.30000000000001,433.54610434814794
pabyye9hx37pltyitpabys8v9lqrhxky,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,10,0,2,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000023,E02000667,4,93.94595064593693,96,340.333615058823
pcqvacwfz6yklwn2bj8pcqva24yxi6rh,Male,30 to 34,Living with partner/ spouse/ older relative WITH children under 18,9,2,2,0,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000030,E02000881,3,106.55418799829552,70.5,176.42235618333314
pmszzpn8mu3npmrdw0vfp44xxxs5cpnr,Female,35 to 39,Living with partner/ spouse/ older relative WITH children under 18,9,0,2,0,Buying the house on a mortgage,1,Working part-time,"More than £58,900 p.a.",E09000006,E02000156,9,69.34413947690096,89.3,990.9790786206858
pu6fi7hv00sg4ja6ktnpu6fizmsb16ll,Female,40 to 44,Living with partner/ spouse/ older relative WITH children under 18,7,1,2,0,Temporarily living with friends and/ or family while attempting to find permanent accommodation,0,Working part-time,"£14,901- £24,300 p.a.",E09000028,E02000825,3,112.89535525791995,70.7,282.0495154430374
