Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
5,3,6,2,1,0,2,0,2,09000014,02000412,4,77,308.6802522074068
10,4,4,2,1,7,3,1,1,09000023,02000670,2,94.69999999999999,199.5284734117641
3,3,6,0,1,0,2,0,5,09000030,02000891,5,48.199999999999996,272.7341455527152
5,3,6,2,2,1,0,1,4,09000033,02000974,4,39.800000000000004,309.1202121661231
5,3,7,2,2,0,2,0,5,09000031,02000913,5,93.89999999999999,317.46178323364444
3,2,7,2,2,4,2,3,2,09000030,02000874,2,79.10000000000001,129.05667392846135
8,4,4,2,1,8,1,4,2,09000003,02000035,6,71.89999999999999,304.4400930232558
6,1,9,0,2,0,3,1,4,09000028,02000818,2,77.7,166.8381638378371
4,2,7,1,2,8,6,1,2,09000005,02000103,3,74.2,421.5310455631574
11,4,6,2,0,9,3,6,1,09000023,02000669,4,90.2,273.90674144444404
7,3,7,2,2,0,2,0,0,09000005,02000099,7,91,823.947128730158
3,3,7,0,2,1,2,0,3,09000019,02000576,3,19.8,312.8679600749411
4,3,8,0,2,0,2,0,5,09000030,02000878,2,42.199999999999996,285.23046621755657
10,1,9,0,2,0,4,1,3,09000003,02000035,6,71.89999999999999,304.4400930232558
9,1,6,2,2,0,2,0,4,09000013,02000385,5,92,280.71129210784244
5,1,5,2,2,8,6,4,1,09000019,02000556,2,82,264.32296750282427
3,2,7,2,2,2,4,0,4,09000031,02000900,4,96,416.77152119999914
4,1,8,0,2,0,2,0,5,09000022,02000636,6,90.60000000000001,407.0761979493667
3,3,4,2,0,9,2,1,3,09000014,02000421,3,76.6,186.36484583333262
3,3,8,0,1,4,2,3,2,09000024,02000692,10,79.5,463.3952524836061
3,2,6,2,1,0,4,0,2,09000009,02000269,9,90.7,209.4413019401708
7,2,6,2,2,0,0,0,2,09000010,02000283,3,96.6,538.7700054499998
10,1,8,2,2,0,4,0,3,09000006,02000161,10,95.6,422.6251898024685
5,4,4,2,2,4,2,3,1,09000019,02000560,3,76.1,415.02431719594557
3,1,8,0,2,0,2,0,5,09000011,02000333,8,86.2,311.3581666015031
5,1,7,2,2,0,5,0,5,09000024,02000697,10,87.5,414.02554961309477
5,3,7,2,1,4,5,1,4,09000029,02000847,10,92.9,452.56292031944383
6,4,7,2,2,1,2,3,3,09000012,02000360,3,63.2,217.52377372352905
3,1,10,1,1,0,2,0,5,09000033,02000972,4,38.4,336.07707946133525
7,1,8,2,2,1,4,0,1,09000011,02006930,5,78.2,491.4274888563531
4,2,1,2,2,7,2,4,3,09000009,02000275,4,85.5,284.61811890909075
2,2,6,0,2,0,3,2,0,09000025,02000725,2,79.5,398.7856089249993
9,2,8,0,2,0,4,0,0,09000013,02000388,6,79.60000000000001,312.27774304522575
2,4,8,2,2,8,2,2,1,09000019,02000568,3,61.1,154.7604152190472
4,4,8,2,2,0,4,0,5,09000030,02006853,6,21.8,331.5757803513508
8,4,8,1,2,1,2,2,2,09000028,02000833,3,64.4,126.46027943965478
7,1,6,2,1,0,1,0,2,09000006,02000145,2,89,208.89439072580595
6,4,2,2,2,2,2,2,0,09000007,02000171,5,78.8,290.83921795744635
5,3,8,2,2,0,2,0,3,09000030,02000894,4,62.3,427.5065193918917
6,2,10,2,2,0,5,2,0,09000003,02000058,8,85.7,248.82601423487546
3,3,7,2,2,0,2,0,3,09000014,02000415,3,92.9,176.84403951999948
4,2,7,2,2,0,5,1,5,09000030,02000873,5,61.3,118.95568811111073
4,1,3,1,1,0,5,1,4,09000004,02000080,4,90.10000000000001,466.07723700636905
4,4,5,2,1,0,2,1,2,09000017,02000510,6,91.60000000000001,1192.0104087719271
5,4,5,2,1,7,2,3,3,09000030,02000881,2,70.5,176.42235618333314
5,1,9,1,2,0,5,0,5,09000009,02000256,8,74,373.14595774545404
3,3,6,2,2,0,2,0,5,09000014,02000422,3,84.8,363.88734276635444
3,3,8,2,2,2,2,0,5,09000025,02000729,4,95.1,183.43601780302987
4,1,7,2,2,0,2,0,5,09000030,02000879,2,82.1,171.61097252142818
6,3,5,2,2,3,2,2,0,09000003,02000058,8,85.7,248.82601423487546
4,3,7,2,2,8,2,1,3,09000014,02000411,3,82.19999999999999,288.5948052689651
4,1,6,2,0,7,8,0,1,09000003,02000035,5,71.89999999999999,304.4400930232558
7,3,2,2,1,8,2,1,1,09000014,02000407,2,90.7,284.57518858490533
4,4,7,2,2,1,0,1,0,09000005,02000126,2,70.1,166.23307924242394
4,1,8,2,2,0,2,0,3,09000023,02000660,5,81.10000000000001,261.28828226470534
9,2,3,2,2,7,2,3,1,09000013,02000384,4,68.89999999999999,334.073055056521
2,2,6,2,1,3,2,1,3,09000011,02000316,2,50.1,211.61559090490755
