msoa_code,green_space_pct,park_distance_m
E02000480,84.7,358.37711185294074
E02000481,90.9,1452.36233958333
E02000482,96.7,759.3459697131142
E02000483,78.10000000000001,288.92260316249957
E02000484,94.3,346.6648485700784
E02000485,90.5,292.90319113422754
E02000486,91.4,540.5728951456307
E02000487,98.3,438.63264468055485
E02000488,96.89999999999999,421.7312771428565
E02000489,91.3,319.54048591603004
E02000490,94.39999999999999,584.9575659852935
E02000491,91.3,646.7204241769904
E02000492,97.8,559.3450234754096
E02000493,91.2,556.194435841121
E02000494,89.2,954.7675668333324
E02000495,83.6,1281.841905133077
E02000496,87.2,683.2525611686722
E02000497,93.10000000000001,418.5896972743356
E02000498,94.19999999999999,259.34155281690084
E02000499,89.7,312.59468675163356
E02000500,85.1,382.3941329949746
E02000501,94.1,271.7982513636356
E02000502,86.1,453.9689225989299
E02000503,98.0,535.9539143448269
E02000504,93.10000000000001,834.1092478378363
E02000506,92.80000000000001,887.1732435917135
E02000507,96.3,1658.6405069999971
E02000508,78.10000000000001,766.6577967424237
E02000509,75.7,557.9557641971825
E02000510,91.60000000000001,1192.0104087719271
E02000511,95.0,313.64138750657855
E02000512,93.0,532.9147208156022
E02000513,79.7,350.57390491124204
E02000514,91.4,300.5177253958332
E02000515,84.39999999999999,616.0567504285709
E02000516,95.39999999999999,311.87337874809134
E02000517,92.9,437.10214270700595
E02000518,92.5,371.7308359691356
E02000519,82.0,258.8864942341767
E02000520,82.5,362.45329854526994
E02000521,92.30000000000001,396.3142613181813
E02000522,80.30000000000001,433.54610434814794
E02000523,78.10000000000001,529.7053187777775
E02000524,86.5,1019.0835285582258
E02000525,79.60000000000001,696.371872463413
E02000526,88.8,289.96628517391247
E02000528,60.0,283.4253062319996
E02000529,79.9,283.44970287930994
E02000530,79.4,699.5985111965806
E02000531,79.0,376.66163131020346
E02000532,78.3,601.6525030288452
E02000533,86.5,654.3968881818179
E02000534,88.6,433.6432643128652
E02000535,91.4,611.4632833185838
E02000536,87.3,315.83762366013036
E02000537,86.7,320.17220431782926
E02000538,92.30000000000001,539.4532122105263
E02000539,82.8,372.63828257209235
E02000540,78.10000000000001,379.6208808995427
E02000541,87.7,346.6341627213111
E02000542,76.4,435.26864821428546
E02000543,70.39999999999999,416.4443602053566
E02000544,97.6,401.8450537398367
E02000545,72.89999999999999,711.1346502675143
E02000546,85.8,379.2330971491225
E02000547,89.8,698.3319108484842
E02000548,86.4,323.8325168598721
E02000549,87.0,251.5855130505613
E02000550,76.9,317.4000185960261
E02000551,76.9,287.6973545911943
E02000552,76.3,506.4394747619041
E02000553,86.0,515.1356790666664
E02000554,80.5,210.5279219883714
E02000555,86.5,219.20242182051246
E02000556,82.0,264.32296750282427
E02000557,86.0,377.24919648795117
E02000558,68.0,371.66029113669015
E02000559,91.0,269.77031346874946
E02000560,76.1,415.02431719594557
E02000561,86.7,253.18484848760272
E02000562,81.8,234.91550424113433
E02000563,80.80000000000001,387.3530042214282
E02000564,62.5,228.9779782232553
E02000565,77.4,318.77599537209244
E02000566,86.2,126.9061470946743
E02000567,88.5,210.40775958375613
E02000568,61.1,154.7604152190472
E02000569,72.8,192.12849821774137
E02000570,88.4,195.159737256281
E02000571,78.5,258.806674838862
E02000572,63.9,125.96063901111083
E02000573,65.5,197.9961132326385
E02000574,65.5,246.2140048980387
E02000575,30.599999999999998,175.6828659606295
E02000576,19.8,312.8679600749411
E02000577,61.0,284.6964665989005
E02000578,84.0,260.9075773425923
E02000579,87.6,344.09269385810757
E02000580,86.5,506.81208763513484
E02000581,74.0,624.9784193124992
E02000582,82.69999999999999,219.78472077976144
E02000583,88.5,359.9588800833328
E02000584,83.0,249.91830479553894
E02000585,93.0,238.39549299337702
E02000586,82.3,275.5706669577461
E02000587,73.2,255.12299525490158
E02000588,76.2,462.89031148541056
E02000589,84.3,372.0255145146193
E02000590,81.69999999999999,465.5183718909086
E02000591,76.5,567.3454676190473
E02000592,85.7,622.7552682564099
E02000593,91.60000000000001,286.2187233263881
E02000594,77.2,222.19245460317387
E02000595,86.4,263.0856387335903
E02000596,83.39999999999999,430.4022766354163
E02000597,73.4,164.5577262236838
E02000598,95.19999999999999,407.1477296183201
E02000599,95.8,711.7966111176461
E02000600,79.2,431.77709125531857
E02000601,81.89999999999999,367.6958890097082
E02000602,67.0,902.9186947058814
E02000603,87.6,1520.2042949275333
E02000604,85.6,514.791856005747
E02000605,94.69999999999999,1148.033597739725
E02000606,71.39999999999999,310.67220333421733
E02000607,95.3,914.4962355660358
E02000608,78.2,388.92704243181794
E02000609,92.4,625.5495502499994
E02000610,77.9,703.5278201923073
E02000611,97.5,544.8556435431029
E02000612,90.10000000000001,352.6802895460986
E02000613,95.19999999999999,960.7470303007508
E02000614,89.8,796.3225579220774
E02000615,97.0,1441.555180074623
E02000616,97.3,524.3596745299993
E02000617,90.9,1363.6219699275316
E02000619,56.99999999999999,129.15278931281992
E02000620,60.4,166.28243417982404
E02000621,40.1,248.0655072084937
E02000622,78.3,185.4949739570549
E02000623,50.6,356.1933798819438
E02000624,67.7,173.59877611904736
E02000625,73.5,223.58491871839038
E02000626,71.8,213.90085960139803
E02000627,80.10000000000001,485.7477146770179
E02000628,70.5,171.97836435271273
E02000629,77.60000000000001,434.6503003819092
E02000630,77.5,258.49169319892405
E02000631,91.8,239.2899842222218
E02000632,91.5,533.0982935326082
E02000633,84.89999999999999,238.6198735474858
E02000634,62.8,448.015916634146
E02000635,86.2,238.46563394088605
E02000636,90.60000000000001,407.0761979493667
E02000637,88.5,253.40198487116533
E02000638,80.10000000000001,217.20054386826297
E02000639,63.5,350.3166793292681
E02000640,88.0,238.875042948571
E02000641,65.3,216.81749141717722
E02000642,86.1,515.313758297872
E02000643,88.1,442.0001257727268
E02000644,89.2,340.76712152413756
E02000645,84.3,449.55035270909025
E02000646,75.1,571.9267401860459
E02000647,87.5,479.8103667656245
E02000648,84.5,237.39337037142795
E02000649,85.7,364.20877941916126
E02000650,88.2,296.2617712187496
E02000651,87.3,267.9158085395678
E02000652,95.7,827.4768729166653
E02000653,72.3,258.94981261025606
E02000654,51.0,205.360251623595
E02000655,73.1,168.27001948701266
E02000657,75.3,303.80568811538427
E02000658,84.7,207.79805383471032
E02000659,80.9,359.04189893827134
E02000660,81.10000000000001,261.28828226470534
E02000661,74.3,285.6464106543203
E02000662,80.2,295.20862761870444
E02000663,93.4,227.46105039772667
E02000664,56.8,273.10510197021233
E02000665,89.4,151.17878501666593
E02000666,90.10000000000001,269.2143678316828
E02000667,96.0,340.333615058823
E02000668,94.3,432.60126830357115
E02000669,90.2,273.90674144444404
E02000670,94.69999999999999,199.5284734117641
E02000671,93.8,203.8307110616433
E02000672,78.9,315.20616644252834
E02000673,86.1,322.5377848895702
E02000674,99.2,522.341780894117
E02000675,89.4,293.9610116301366
E02000676,94.89999999999999,587.1728851351347
E02000677,93.89999999999999,509.82377951923024
E02000678,83.1,478.33430705128154
E02000679,81.0,443.6070743787874
E02000680,62.1,220.55077833757932
E02000681,93.2,474.1098867938928
E02000682,90.60000000000001,308.35020297580587
E02000683,90.5,266.8046029576267
E02000685,78.0,249.4424464722218
E02000686,79.10000000000001,280.8992149268286
E02000687,90.3,301.72112865217355
E02000689,73.1,814.7140227536227
E02000690,87.7,295.40280305913916
E02000691,85.6,312.9498368512396
E02000692,79.5,463.3952524836061
E02000693,77.5,220.87618685526266
E02000694,90.5,242.01557664999933
E02000695,96.39999999999999,504.50828636274485
E02000696,89.5,243.86311741904728
E02000697,87.5,414.02554961309477
E02000698,92.80000000000001,428.35875015300525
E02000699,96.1,578.1108645350876
E02000700,78.9,321.31118477519334
E02000701,87.9,220.12748456198315
E02000702,90.0,582.0531376691727
E02000703,94.69999999999999,232.59912092857095
E02000704,83.7,547.2337033333328
E02000705,94.0,611.7131768644061
E02000706,79.7,301.31191041538426
E02000707,86.7,518.7749397083326
E02000708,92.0,530.5849747692304
E02000709,99.1,273.9468180329665
E02000710,82.69999999999999,185.37076125263138
E02000711,93.89999999999999,243.28540964900597
E02000712,95.39999999999999,364.9575036791042
E02000713,95.6,313.2889829509801
E02000714,90.8,231.1314766699023
E02000715,94.5,297.28891681249956
E02000716,92.60000000000001,323.30375334328306
E02000717,79.7,397.2384960294112
E02000718,89.4,271.7273493249998
E02000719,86.0,285.9620553749997
E02000720,94.69999999999999,594.9427249206346
E02000721,82.69999999999999,530.9984957303369
E02000722,83.2,318.993491458333
E02000723,94.69999999999999,404.4358374197527
E02000724,97.2,258.0293184310343
E02000725,79.5,398.7856089249993
E02000726,55.7,313.62815444552035
E02000727,92.80000000000001,400.87630630302993
E02000728,97.8,702.2317473015871
E02000729,95.1,183.43601780302987
E02000730,92.4,423.65182158904076
E02000731,88.4,341.50867283333304
E02000732,79.7,167.04717221621573
E02000733,83.5,218.39721093103392
E02000734,80.80000000000001,328.59493067415684
E02000735,91.7,397.2139039759033
E02000736,92.5,485.03989306451564
E02000737,93.89999999999999,261.5263798496729
E02000738,95.39999999999999,264.53849046428513
E02000739,86.5,150.24718279220718
E02000740,91.2,402.416466815217
E02000741,91.2,428.25108220930167
E02000742,98.5,194.1113429117644
E02000743,73.8,275.613695916666
E02000744,89.4,407.03316102521
E02000745,95.19999999999999,268.2767599655167
E02000746,67.0,441.4519395144224
E02000747,49.7,490.79035476444403
E02000748,93.4,190.47547952631544
E02000749,91.7,311.59369313888845
E02000750,68.60000000000001,302.48878647349784
E02000751,91.3,756.6193234645652
E02000752,89.7,535.3999690931671
E02000753,97.5,1149.3893705555524
E02000754,93.8,365.42890691538406
E02000755,91.5,184.9775214757276
E02000756,90.60000000000001,430.1504165419843
E02000757,81.6,424.4852206790693
E02000758,90.0,373.4177240543472
E02000759,83.7,295.462351934343
E02000760,93.2,504.3482205781248
E02000762,87.6,420.1673305119042
E02000763,88.3,457.812300196721
E02000764,86.6,416.2383847633925
E02000765,92.9,574.2612553684203
E02000767,90.60000000000001,478.53376628787834
E02000768,94.6,238.4582939775277
