Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
1,2,4,1,8,0,1,2,0,3,73.5,223.5849187,107.0192611
1,3,4,5,9,0,2,5,3,3,84.4,616.0567504,77.02625332
1,2,2,2,8,0,2,4,0,6,84.3,449.5503527,107.0192611
1,3,5,6,8,2,2,2,2,3,93.8,270.8615367,96.79696038
2,2,5,1,8,0,2,5,5,4,88.3,241.8248561,110.3108459
2,3,3,3,6,2,2,2,0,8,75.7,557.9557642,77.02625332
1,2,4,1,8,2,2,2,3,6,83.4,366.3997512,71.52628694
1,3,5,5,8,1,2,5,0,4,84.9,862.4856547,61.22939836
1,3,8,4,8,1,2,5,3,4,81.1,261.2882823,93.94595065
1,3,5,5,7,0,2,5,5,7,71.9,304.440093,71.52628694
2,2,7,5,7,2,2,4,5,5,87.2,735.8720486,96.79696038
2,3,10,4,9,1,2,4,1,5,69.7,225.5575184,121.6670744
1,2,3,3,8,0,2,5,2,2,35.8,406.4771433,372.933205
1,9,4,5,7,1,1,2,5,2,75.6,466.4038466,96.79696038
1,2,5,5,8,2,0,3,3,4,86.5,219.2024218,127.4397297
2,2,3,1,6,1,2,2,4,7,79.1,622.7682568,64.10579525
1,9,3,1,3,0,2,3,5,2,82.1,273.1457849,121.6670744
1,2,8,4,6,2,2,5,2,2,71.5,148.0816264,121.6670744
2,2,4,1,8,1,2,5,5,2,55.7,313.6281544,102.9492058
1,2,5,4,9,2,2,4,4,4,51.4,578.5387154,161.7785752
2,2,3,2,6,2,1,0,0,3,56.8,273.105102,93.94595065
1,5,11,1,8,0,2,4,0,8,93.2,460.1975814,73.74327005
1,2,4,4,8,0,1,2,4,2,72.8,285.7571366,87.80214462
3,7,4,1,7,1,2,2,5,3,84.3,449.5503527,107.0192611
1,4,4,4,6,2,1,2,4,2,77.7,166.8381638,112.8953553
1,5,12,4,5,0,2,4,2,3,79.8,247.2901421,87.80214462
2,8,2,1,3,2,1,2,1,3,90.5,330.4398558,121.6670744
2,2,3,1,4,2,0,2,2,4,92.8,298.0391837,110.3108459
1,3,9,6,7,0,2,4,0,6,73.1,814.7140228,64.7356604
1,2,3,3,7,0,2,2,5,6,77.0,479.5016372,75.01260027
1,8,8,2,5,1,1,2,3,6,69.2,540.8561438,92.56137265
1,2,3,1,8,0,2,2,0,6,86.8,551.627162,59.12433069
1,3,6,5,6,2,1,5,5,8,94.3,279.5283645,59.12433069
1,3,5,1,10,2,2,3,3,5,83.0,669.8191652,89.33622132
2,2,4,1,8,1,2,2,5,3,55.7,313.6281544,102.9492058
1,2,4,3,4,2,1,2,3,3,65.7,302.3541312,121.6670744
1,2,7,1,7,1,2,5,5,4,84.7,207.7980538,93.94595065
